 trial_no )----------variables-----------sum of variables--------objective value------------------
 95 )  0.080097 + 0.880883 + 0.002113 + 0.036907 +  = 1.000000, objective value => 0.975000 
 96 )  0.170174 + 0.615978 + 0.205140 + 0.008708 +  = 1.000000, objective value => 0.975000 
 97 )  0.325460 + 0.343496 + 0.198063 + 0.132981 +  = 1.000000, objective value => 0.596296 
 98 )  0.167634 + 0.001693 + 0.217026 + 0.613647 +  = 1.000000, objective value => 0.683019 
 99 )  0.234634 + 0.362154 + 0.031974 + 0.371239 +  = 1.000000, objective value => 0.637037 
 100 )  0.282365 + 0.359414 + 0.222149 + 0.136072 +  = 1.000000, objective value => 0.596296 
 101 )  0.222798 + 0.094163 + 0.368831 + 0.314209 +  = 1.000000, objective value => 0.596296 
 102 )  0.083352 + 0.487404 + 0.228483 + 0.200761 +  = 1.000000, objective value => 0.975000 
 103 )  0.224801 + 0.161821 + 0.322861 + 0.290517 +  = 1.000000, objective value => 0.596296 
 104 )  0.058839 + 0.040816 + 0.657764 + 0.242582 +  = 1.000000, objective value => 0.975000 
 105 )  0.091296 + 0.607889 + 0.205448 + 0.095368 +  = 1.000000, objective value => 0.975000 
 106 )  0.023509 + 0.389827 + 0.008422 + 0.578242 +  = 1.000000, objective value => 0.646154 
 107 )  0.156889 + 0.402345 + 0.106593 + 0.334173 +  = 1.000000, objective value => 0.596296 
 108 )  0.170675 + 0.294306 + 0.308143 + 0.226876 +  = 1.000000, objective value => 0.596296 
 109 )  0.087629 + 0.018401 + 0.457054 + 0.436916 +  = 1.000000, objective value => 0.596296 
 110 )  0.226935 + 0.142621 + 0.314005 + 0.316440 +  = 1.000000, objective value => 0.596296 
 111 )  0.328941 + 0.468902 + 0.199297 + 0.002860 +  = 1.000000, objective value => 0.611111 
 112 )  0.077728 + 0.299205 + 0.354220 + 0.268846 +  = 1.000000, objective value => 0.639216 
 113 )  0.416724 + 0.209390 + 0.227091 + 0.146796 +  = 1.000000, objective value => 0.596296 
 114 )  0.402430 + 0.060455 + 0.292101 + 0.245014 +  = 1.000000, objective value => 0.596296 
 115 )  0.172181 + 0.514740 + 0.269055 + 0.044024 +  = 1.000000, objective value => 0.975000 
 116 )  0.504923 + 0.296956 + 0.154537 + 0.043585 +  = 1.000000, objective value => 0.596296 
 117 )  0.063785 + 0.236615 + 0.378391 + 0.321209 +  = 1.000000, objective value => 0.637037 
 118 )  0.020047 + 0.176603 + 0.363641 + 0.439709 +  = 1.000000, objective value => 0.637037 
 119 )  0.371691 + 0.033131 + 0.343732 + 0.251446 +  = 1.000000, objective value => 0.596296 
 120 )  0.211608 + 0.302879 + 0.299937 + 0.185576 +  = 1.000000, objective value => 0.596296 
 121 )  0.117393 + 0.401670 + 0.222838 + 0.258099 +  = 1.000000, objective value => 0.975000 
 122 )  0.317036 + 0.033818 + 0.353930 + 0.295216 +  = 1.000000, objective value => 0.596296 
 123 )  0.216185 + 0.317711 + 0.160945 + 0.305159 +  = 1.000000, objective value => 0.596296 
 124 )  0.408790 + 0.090158 + 0.188633 + 0.312419 +  = 1.000000, objective value => 0.644445 
 125 )  0.246285 + 0.232329 + 0.266234 + 0.255151 +  = 1.000000, objective value => 0.596296 
 126 )  0.469152 + 0.014228 + 0.239347 + 0.277273 +  = 1.000000, objective value => 0.644445 
 127 )  0.064165 + 0.265155 + 0.302709 + 0.367970 +  = 1.000000, objective value => 0.646154 
 128 )  0.259927 + 0.079663 + 0.327018 + 0.333392 +  = 1.000000, objective value => 0.596296 
 129 )  0.157022 + 0.299254 + 0.458092 + 0.085632 +  = 1.000000, objective value => 0.975000 
 130 )  0.033467 + 0.238860 + 0.499734 + 0.227939 +  = 1.000000, objective value => 0.975000 
 131 )  0.440765 + 0.104981 + 0.109668 + 0.344587 +  = 1.000000, objective value => 0.644445 
 132 )  0.178594 + 0.234648 + 0.312735 + 0.274023 +  = 1.000000, objective value => 0.596296 
 133 )  0.359864 + 0.075992 + 0.172419 + 0.391724 +  = 1.000000, objective value => 0.644445 
 134 )  0.457799 + 0.530241 + 0.006748 + 0.005212 +  = 1.000000, objective value => 0.611111 
 135 )  0.001504 + 0.209633 + 0.288740 + 0.500122 +  = 1.000000, objective value => 0.540741 
 136 )  0.183832 + 0.283648 + 0.302797 + 0.229722 +  = 1.000000, objective value => 0.596296 
 137 )  0.304744 + 0.311178 + 0.232429 + 0.151648 +  = 1.000000, objective value => 0.596296 
 138 )  0.400498 + 0.001033 + 0.369180 + 0.229290 +  = 1.000000, objective value => 0.596296 
 139 )  0.012080 + 0.288442 + 0.296117 + 0.403361 +  = 1.000000, objective value => 0.637037 
 140 )  0.278713 + 0.034023 + 0.452129 + 0.235135 +  = 1.000000, objective value => 0.596296 
 141 )  0.236547 + 0.240750 + 0.274464 + 0.248239 +  = 1.000000, objective value => 0.596296 
 142 )  0.243903 + 0.146060 + 0.294393 + 0.315644 +  = 1.000000, objective value => 0.596296 
 143 )  0.106590 + 0.325783 + 0.308410 + 0.259218 +  = 1.000000, objective value => 0.639216 
 144 )  0.439381 + 0.083539 + 0.389780 + 0.087301 +  = 1.000000, objective value => 0.596296 
 145 )  0.332557 + 0.308503 + 0.195499 + 0.163441 +  = 1.000000, objective value => 0.596296 
 146 )  0.085513 + 0.440088 + 0.469060 + 0.005340 +  = 1.000000, objective value => 0.975000 
 147 )  0.197222 + 0.510812 + 0.059119 + 0.232847 +  = 1.000000, objective value => 0.975000 
 148 )  0.501628 + 0.418538 + 0.017558 + 0.062277 +  = 1.000000, objective value => 0.596296 
 149 )  0.031077 + 0.381115 + 0.321943 + 0.265865 +  = 1.000000, objective value => 0.975000 
 150 )  0.188190 + 0.315977 + 0.335723 + 0.160109 +  = 1.000000, objective value => 0.639216 
 151 )  0.280101 + 0.376253 + 0.337163 + 0.006483 +  = 1.000000, objective value => 0.588235 
 152 )  0.059775 + 0.192693 + 0.519696 + 0.227835 +  = 1.000000, objective value => 0.639216 
 153 )  0.055687 + 0.359646 + 0.262898 + 0.321768 +  = 1.000000, objective value => 0.639216 
 154 )  0.052458 + 0.100407 + 0.703163 + 0.143972 +  = 1.000000, objective value => 0.975000 
 155 )  0.134812 + 0.384523 + 0.194816 + 0.285849 +  = 1.000000, objective value => 0.596296 
 156 )  0.362102 + 0.277276 + 0.110420 + 0.250202 +  = 1.000000, objective value => 0.596296 
 157 )  0.200281 + 0.250651 + 0.439703 + 0.109365 +  = 1.000000, objective value => 0.639216 
 158 )  0.198794 + 0.458624 + 0.284985 + 0.057598 +  = 1.000000, objective value => 0.975000 
 159 )  0.340239 + 0.229923 + 0.085028 + 0.344811 +  = 1.000000, objective value => 0.644445 
 160 )  0.329551 + 0.238990 + 0.259395 + 0.172064 +  = 1.000000, objective value => 0.596296 
 161 )  0.314437 + 0.340685 + 0.337531 + 0.007347 +  = 1.000000, objective value => 0.611111 
 162 )  0.225561 + 0.007539 + 0.297912 + 0.468988 +  = 1.000000, objective value => 0.644445 
 163 )  0.227076 + 0.045522 + 0.362041 + 0.365362 +  = 1.000000, objective value => 0.596296 
 164 )  0.341630 + 0.170605 + 0.029174 + 0.458591 +  = 1.000000, objective value => 0.644445 
 165 )  0.026316 + 0.122208 + 0.298827 + 0.552649 +  = 1.000000, objective value => 0.540741 
 166 )  0.083416 + 0.392386 + 0.179008 + 0.345191 +  = 1.000000, objective value => 0.596296 
 167 )  0.267196 + 0.252052 + 0.215096 + 0.265656 +  = 1.000000, objective value => 0.596296 
 168 )  0.141244 + 0.020279 + 0.094517 + 0.743959 +  = 1.000000, objective value => 0.683019 
 169 )  0.352487 + 0.235888 + 0.047137 + 0.364488 +  = 1.000000, objective value => 0.644445 
 170 )  0.206219 + 0.386309 + 0.326077 + 0.081395 +  = 1.000000, objective value => 0.975000 
 171 )  0.272596 + 0.077960 + 0.009370 + 0.640074 +  = 1.000000, objective value => 0.683019 
 172 )  0.150621 + 0.154312 + 0.175890 + 0.519176 +  = 1.000000, objective value => 0.646154 
 173 )  0.244867 + 0.211268 + 0.227968 + 0.315897 +  = 1.000000, objective value => 0.596296 
 174 )  0.083115 + 0.209335 + 0.206406 + 0.501145 +  = 1.000000, objective value => 0.646154 
 175 )  0.357884 + 0.215175 + 0.140703 + 0.286238 +  = 1.000000, objective value => 0.596296 
 176 )  0.409633 + 0.427503 + 0.130447 + 0.032417 +  = 1.000000, objective value => 0.637037 
 177 )  0.306487 + 0.258911 + 0.260915 + 0.173687 +  = 1.000000, objective value => 0.596296 
 178 )  0.350444 + 0.183618 + 0.220855 + 0.245083 +  = 1.000000, objective value => 0.596296 
 179 )  0.283143 + 0.302130 + 0.171287 + 0.243441 +  = 1.000000, objective value => 0.596296 
 180 )  0.227877 + 0.074896 + 0.646950 + 0.050277 +  = 1.000000, objective value => 0.975000 
 181 )  0.310787 + 0.157736 + 0.278021 + 0.253456 +  = 1.000000, objective value => 0.596296 
 182 )  0.428170 + 0.070502 + 0.227655 + 0.273673 +  = 1.000000, objective value => 0.596296 
 183 )  0.202048 + 0.170908 + 0.040506 + 0.586537 +  = 1.000000, objective value => 0.683019 
 184 )  0.378658 + 0.325725 + 0.024112 + 0.271505 +  = 1.000000, objective value => 0.596296 
