 trial_no )----------variables-----------sum of variables--------objective value------------------
 85 )  0.204999 + 0.178155 + 0.328416 + 0.288430 +  = 1.000000, objective value => 0.690196 
 86 )  0.018581 + 0.251256 + 0.728233 + 0.001930 +  = 1.000000, objective value => 0.809524 
 87 )  0.275553 + 0.080585 + 0.151100 + 0.492761 +  = 1.000000, objective value => 0.690196 
 88 )  0.412428 + 0.186604 + 0.162128 + 0.238840 +  = 1.000000, objective value => 0.690196 
 89 )  0.116023 + 0.356994 + 0.049905 + 0.477077 +  = 1.000000, objective value => 0.728000 
 90 )  0.364158 + 0.026996 + 0.369307 + 0.239539 +  = 1.000000, objective value => 0.690196 
 91 )  0.157561 + 0.156989 + 0.656703 + 0.028747 +  = 1.000000, objective value => 0.762791 
 92 )  0.112096 + 0.121754 + 0.323713 + 0.442437 +  = 1.000000, objective value => 0.762791 
 93 )  0.147950 + 0.042684 + 0.317175 + 0.492191 +  = 1.000000, objective value => 0.762791 
 94 )  0.133003 + 0.368358 + 0.170341 + 0.328299 +  = 1.000000, objective value => 0.690196 
 95 )  0.218986 + 0.225722 + 0.307580 + 0.247712 +  = 1.000000, objective value => 0.690196 
 96 )  0.166858 + 0.285752 + 0.231793 + 0.315596 +  = 1.000000, objective value => 0.690196 
 97 )  0.381881 + 0.115737 + 0.271440 + 0.230942 +  = 1.000000, objective value => 0.690196 
 98 )  0.241147 + 0.134059 + 0.469585 + 0.155209 +  = 1.000000, objective value => 0.762791 
 99 )  0.247399 + 0.199755 + 0.420780 + 0.132065 +  = 1.000000, objective value => 0.690196 
 100 )  0.590812 + 0.070942 + 0.244503 + 0.093743 +  = 1.000000, objective value => 0.690196 
 101 )  0.002311 + 0.527035 + 0.080066 + 0.390587 +  = 1.000000, objective value => 0.925000 
 102 )  0.478697 + 0.420365 + 0.078113 + 0.022826 +  = 1.000000, objective value => 0.690196 
 103 )  0.016343 + 0.429049 + 0.394392 + 0.160216 +  = 1.000000, objective value => 0.925000 
 104 )  0.222871 + 0.148654 + 0.213691 + 0.414785 +  = 1.000000, objective value => 0.690196 
 105 )  0.360663 + 0.083698 + 0.253362 + 0.302276 +  = 1.000000, objective value => 0.690196 
 106 )  0.390337 + 0.321309 + 0.000959 + 0.287395 +  = 1.000000, objective value => 0.690196 
 107 )  0.221144 + 0.453827 + 0.013887 + 0.311142 +  = 1.000000, objective value => 0.690196 
 108 )  0.346841 + 0.221861 + 0.340297 + 0.091001 +  = 1.000000, objective value => 0.690196 
 109 )  0.019577 + 0.068827 + 0.813988 + 0.097608 +  = 1.000000, objective value => 0.809524 
 110 )  0.551536 + 0.032427 + 0.253190 + 0.162846 +  = 1.000000, objective value => 0.690196 
 111 )  0.154386 + 0.338011 + 0.257190 + 0.250412 +  = 1.000000, objective value => 0.690196 
 112 )  0.355686 + 0.416768 + 0.097692 + 0.129854 +  = 1.000000, objective value => 0.690196 
 113 )  0.202210 + 0.337562 + 0.181894 + 0.278335 +  = 1.000000, objective value => 0.690196 
 114 )  0.223454 + 0.249503 + 0.314194 + 0.212850 +  = 1.000000, objective value => 0.690196 
 115 )  0.120593 + 0.079918 + 0.370284 + 0.429206 +  = 1.000000, objective value => 0.762791 
 116 )  0.428485 + 0.400636 + 0.056781 + 0.114097 +  = 1.000000, objective value => 0.690196 
 117 )  0.277251 + 0.272761 + 0.196438 + 0.253550 +  = 1.000000, objective value => 0.690196 
 118 )  0.077100 + 0.322604 + 0.461377 + 0.138919 +  = 1.000000, objective value => 0.762791 
 119 )  0.220212 + 0.164657 + 0.494261 + 0.120870 +  = 1.000000, objective value => 0.762791 
 120 )  0.455981 + 0.069982 + 0.159766 + 0.314270 +  = 1.000000, objective value => 0.690196 
 121 )  0.439919 + 0.090209 + 0.050046 + 0.419826 +  = 1.000000, objective value => 0.690196 
 122 )  0.254015 + 0.366104 + 0.162558 + 0.217322 +  = 1.000000, objective value => 0.690196 
 123 )  0.071607 + 0.340849 + 0.405477 + 0.182066 +  = 1.000000, objective value => 0.762791 
 124 )  0.014648 + 0.315755 + 0.429132 + 0.240465 +  = 1.000000, objective value => 0.809524 
 125 )  0.081299 + 0.299992 + 0.221864 + 0.396845 +  = 1.000000, objective value => 0.809524 
 126 )  0.129169 + 0.002066 + 0.584277 + 0.284489 +  = 1.000000, objective value => 0.762791 
 127 )  0.445350 + 0.385275 + 0.054694 + 0.114681 +  = 1.000000, objective value => 0.690196 
 128 )  0.179813 + 0.182415 + 0.400853 + 0.236920 +  = 1.000000, objective value => 0.762791 
 129 )  0.342833 + 0.181740 + 0.377060 + 0.098367 +  = 1.000000, objective value => 0.690196 
 130 )  0.210962 + 0.204350 + 0.292755 + 0.291934 +  = 1.000000, objective value => 0.690196 
 131 )  0.489562 + 0.183256 + 0.019325 + 0.307857 +  = 1.000000, objective value => 0.690196 
 132 )  0.457881 + 0.185216 + 0.341296 + 0.015608 +  = 1.000000, objective value => 0.690196 
 133 )  0.133207 + 0.018069 + 0.231553 + 0.617171 +  = 1.000000, objective value => 0.686275 
 134 )  0.034043 + 0.347976 + 0.240482 + 0.377500 +  = 1.000000, objective value => 0.809524 
 135 )  0.349486 + 0.253341 + 0.319280 + 0.077893 +  = 1.000000, objective value => 0.690196 
 136 )  0.103587 + 0.156972 + 0.393718 + 0.345722 +  = 1.000000, objective value => 0.809524 
 137 )  0.231773 + 0.312300 + 0.326892 + 0.129036 +  = 1.000000, objective value => 0.686275 
 138 )  0.019257 + 0.046611 + 0.339214 + 0.594918 +  = 1.000000, objective value => 0.809524 
 139 )  0.162745 + 0.324434 + 0.272505 + 0.240316 +  = 1.000000, objective value => 0.690196 
 140 )  0.297830 + 0.332752 + 0.046096 + 0.323322 +  = 1.000000, objective value => 0.690196 
 141 )  0.486654 + 0.304461 + 0.039717 + 0.169168 +  = 1.000000, objective value => 0.690196 
 142 )  0.223417 + 0.094437 + 0.090760 + 0.591386 +  = 1.000000, objective value => 0.690196 
 143 )  0.381181 + 0.212172 + 0.029155 + 0.377491 +  = 1.000000, objective value => 0.690196 
 144 )  0.216543 + 0.378379 + 0.318067 + 0.087012 +  = 1.000000, objective value => 0.734884 
 145 )  0.188472 + 0.422892 + 0.246970 + 0.141666 +  = 1.000000, objective value => 0.734884 
 146 )  0.314537 + 0.264417 + 0.382134 + 0.038911 +  = 1.000000, objective value => 0.690196 
 147 )  0.252006 + 0.217584 + 0.403569 + 0.126842 +  = 1.000000, objective value => 0.690196 
 148 )  0.447552 + 0.191680 + 0.212743 + 0.148026 +  = 1.000000, objective value => 0.690196 
 149 )  0.200230 + 0.286341 + 0.342451 + 0.170977 +  = 1.000000, objective value => 0.690196 
 150 )  0.664467 + 0.047160 + 0.113921 + 0.174452 +  = 1.000000, objective value => 0.690196 
 151 )  0.069543 + 0.359788 + 0.292836 + 0.277833 +  = 1.000000, objective value => 0.762791 
 152 )  0.279546 + 0.305680 + 0.035235 + 0.379538 +  = 1.000000, objective value => 0.690196 
 153 )  0.161352 + 0.115929 + 0.494238 + 0.228481 +  = 1.000000, objective value => 0.762791 
 154 )  0.278113 + 0.144588 + 0.360912 + 0.216387 +  = 1.000000, objective value => 0.690196 
 155 )  0.026242 + 0.164332 + 0.306370 + 0.503056 +  = 1.000000, objective value => 0.809524 
 156 )  0.235313 + 0.338011 + 0.096699 + 0.329977 +  = 1.000000, objective value => 0.690196 
 157 )  0.330018 + 0.106713 + 0.358915 + 0.204353 +  = 1.000000, objective value => 0.690196 
 158 )  0.408294 + 0.047800 + 0.166380 + 0.377526 +  = 1.000000, objective value => 0.690196 
 159 )  0.120373 + 0.210586 + 0.094703 + 0.574338 +  = 1.000000, objective value => 0.728000 
 160 )  0.218099 + 0.294781 + 0.329850 + 0.157270 +  = 1.000000, objective value => 0.690196 
 161 )  0.320234 + 0.295108 + 0.294569 + 0.090088 +  = 1.000000, objective value => 0.690196 
 162 )  0.246501 + 0.054631 + 0.631719 + 0.067150 +  = 1.000000, objective value => 0.762791 
 163 )  0.086131 + 0.099419 + 0.292798 + 0.521652 +  = 1.000000, objective value => 0.762791 
 164 )  0.366635 + 0.022175 + 0.293799 + 0.317391 +  = 1.000000, objective value => 0.690196 
 165 )  0.144916 + 0.262195 + 0.140178 + 0.452711 +  = 1.000000, objective value => 0.728000 
 166 )  0.096881 + 0.114384 + 0.317846 + 0.470889 +  = 1.000000, objective value => 0.762791 
 167 )  0.269033 + 0.198112 + 0.437595 + 0.095260 +  = 1.000000, objective value => 0.690196 
 168 )  0.257754 + 0.342051 + 0.192504 + 0.207691 +  = 1.000000, objective value => 0.690196 
 169 )  0.278296 + 0.009660 + 0.325840 + 0.386204 +  = 1.000000, objective value => 0.690196 
 170 )  0.179186 + 0.172195 + 0.453423 + 0.195196 +  = 1.000000, objective value => 0.762791 
 171 )  0.223611 + 0.612524 + 0.061504 + 0.102361 +  = 1.000000, objective value => 0.925000 
 172 )  0.391650 + 0.176126 + 0.324783 + 0.107441 +  = 1.000000, objective value => 0.690196 
 173 )  0.398264 + 0.210622 + 0.212782 + 0.178332 +  = 1.000000, objective value => 0.690196 
 174 )  0.381146 + 0.238406 + 0.148209 + 0.232239 +  = 1.000000, objective value => 0.690196 
 175 )  0.318330 + 0.245527 + 0.290432 + 0.145712 +  = 1.000000, objective value => 0.690196 
 176 )  0.344982 + 0.347710 + 0.302360 + 0.004949 +  = 1.000000, objective value => 0.686275 
 177 )  0.119539 + 0.479916 + 0.314868 + 0.085677 +  = 1.000000, objective value => 0.925000 
 178 )  0.124578 + 0.137637 + 0.390793 + 0.346991 +  = 1.000000, objective value => 0.762791 
 179 )  0.284916 + 0.290810 + 0.102427 + 0.321847 +  = 1.000000, objective value => 0.690196 
 180 )  0.267891 + 0.208285 + 0.265901 + 0.257923 +  = 1.000000, objective value => 0.690196 
 181 )  0.312195 + 0.028122 + 0.614497 + 0.045187 +  = 1.000000, objective value => 0.686275 
 182 )  0.267056 + 0.414378 + 0.276868 + 0.041698 +  = 1.000000, objective value => 0.686275 
 183 )  0.281764 + 0.352448 + 0.189788 + 0.176000 +  = 1.000000, objective value => 0.690196 
 184 )  0.283995 + 0.444859 + 0.172784 + 0.098362 +  = 1.000000, objective value => 0.686275 
 185 )  0.231807 + 0.163545 + 0.323060 + 0.281588 +  = 1.000000, objective value => 0.690196 
 186 )  0.335524 + 0.172974 + 0.291714 + 0.199788 +  = 1.000000, objective value => 0.690196 
 187 )  0.445605 + 0.057649 + 0.028073 + 0.468672 +  = 1.000000, objective value => 0.690196 
 188 )  0.291301 + 0.294444 + 0.163782 + 0.250472 +  = 1.000000, objective value => 0.690196 
 189 )  0.173486 + 0.071749 + 0.331545 + 0.423220 +  = 1.000000, objective value => 0.686275 
 190 )  0.338542 + 0.430082 + 0.108697 + 0.122679 +  = 1.000000, objective value => 0.690196 
 191 )  0.203898 + 0.199239 + 0.232531 + 0.364332 +  = 1.000000, objective value => 0.690196 
 192 )  0.483733 + 0.065521 + 0.432520 + 0.018226 +  = 1.000000, objective value => 0.690196 
 193 )  0.373216 + 0.082127 + 0.478775 + 0.065882 +  = 1.000000, objective value => 0.690196 
 194 )  0.712554 + 0.127623 + 0.009712 + 0.150111 +  = 1.000000, objective value => 0.690196 
 195 )  0.259642 + 0.213039 + 0.356498 + 0.170821 +  = 1.000000, objective value => 0.690196 
 196 )  0.349702 + 0.168388 + 0.040082 + 0.441829 +  = 1.000000, objective value => 0.690196 
